 >PIPOBJ: point-in-polyhedron; NX,NY,NZ= 20 41 20 
     8278        1 = NAT, NIN
 1.000000 0.000000 0.000000 = A_1 vector
 0.000000 1.000000 0.000000 = A_2 vector
 1.000000 1.000000 1.000000 = lattice spacings(d_x,d_y,d_z)/d
 0.0 0.0 0.0 = lattice offset x0(1-3) =(x_TF,y_TF,z_TF)/d for dipole 0 0 0
       JA    IX    IY    IZ  ICOMP(x,y,z)
       1     -4    -1    -9     1 1 1
       2     -4     0    -9     1 1 1
       3     -4     1    -9     1 1 1
       4     -3    -3    -9     1 1 1
       5     -3    -2    -9     1 1 1
       6     -3    -1    -9     1 1 1
       7     -3     0    -9     1 1 1
       8     -3     1    -9     1 1 1
       9     -3     2    -9     1 1 1
      10     -3     3    -9     1 1 1
      11     -2    -3    -9     1 1 1
      12     -2    -2    -9     1 1 1
      13     -2    -1    -9     1 1 1
      14     -2     0    -9     1 1 1
      15     -2     1    -9     1 1 1
      16     -2     2    -9     1 1 1
      17     -2     3    -9     1 1 1
      18     -1    -4    -9     1 1 1
      19     -1    -3    -9     1 1 1
      20     -1    -2    -9     1 1 1
      21     -1    -1    -9     1 1 1
      22     -1     0    -9     1 1 1
      23     -1     1    -9     1 1 1
      24     -1     2    -9     1 1 1
      25     -1     3    -9     1 1 1
      26     -1     4    -9     1 1 1
      27      0    -4    -9     1 1 1
      28      0    -3    -9     1 1 1
      29      0    -2    -9     1 1 1
      30      0    -1    -9     1 1 1
      31      0     0    -9     1 1 1
      32      0     1    -9     1 1 1
      33      0     2    -9     1 1 1
      34      0     3    -9     1 1 1
      35      0     4    -9     1 1 1
      36      1    -4    -9     1 1 1
      37      1    -3    -9     1 1 1
      38      1    -2    -9     1 1 1
      39      1    -1    -9     1 1 1
      40      1     0    -9     1 1 1
      41      1     1    -9     1 1 1
      42      1     2    -9     1 1 1
      43      1     3    -9     1 1 1
      44      1     4    -9     1 1 1
      45      2    -3    -9     1 1 1
      46      2    -2    -9     1 1 1
      47      2    -1    -9     1 1 1
      48      2     0    -9     1 1 1
      49      2     1    -9     1 1 1
      50      2     2    -9     1 1 1
      51      2     3    -9     1 1 1
      52      3    -3    -9     1 1 1
      53      3    -2    -9     1 1 1
      54      3    -1    -9     1 1 1
      55      3     0    -9     1 1 1
      56      3     1    -9     1 1 1
      57      3     2    -9     1 1 1
      58      3     3    -9     1 1 1
      59      4    -1    -9     1 1 1
      60      4     0    -9     1 1 1
      61      4     1    -9     1 1 1
      62     -5    -3    -8     1 1 1
      63     -5    -2    -8     1 1 1
      64     -5    -1    -8     1 1 1
      65     -5     0    -8     1 1 1
      66     -5     1    -8     1 1 1
      67     -5     2    -8     1 1 1
      68     -5     3    -8     1 1 1
      69     -4    -4    -8     1 1 1
      70     -4    -3    -8     1 1 1
      71     -4    -2    -8     1 1 1
      72     -4    -1    -8     1 1 1
      73     -4     0    -8     1 1 1
      74     -4     1    -8     1 1 1
      75     -4     2    -8     1 1 1
      76     -4     3    -8     1 1 1
      77     -4     4    -8     1 1 1
      78     -3    -5    -8     1 1 1
      79     -3    -4    -8     1 1 1
      80     -3    -3    -8     1 1 1
      81     -3    -2    -8     1 1 1
      82     -3    -1    -8     1 1 1
      83     -3     0    -8     1 1 1
      84     -3     1    -8     1 1 1
      85     -3     2    -8     1 1 1
      86     -3     3    -8     1 1 1
      87     -3     4    -8     1 1 1
      88     -3     5    -8     1 1 1
      89     -2    -5    -8     1 1 1
      90     -2    -4    -8     1 1 1
      91     -2    -3    -8     1 1 1
      92     -2    -2    -8     1 1 1
      93     -2    -1    -8     1 1 1
      94     -2     0    -8     1 1 1
      95     -2     1    -8     1 1 1
      96     -2     2    -8     1 1 1
      97     -2     3    -8     1 1 1
      98     -2     4    -8     1 1 1
      99     -2     5    -8     1 1 1
     100     -1    -5    -8     1 1 1
     101     -1    -4    -8     1 1 1
     102     -1    -3    -8     1 1 1
     103     -1    -2    -8     1 1 1
     104     -1    -1    -8     1 1 1
     105     -1     0    -8     1 1 1
     106     -1     1    -8     1 1 1
     107     -1     2    -8     1 1 1
     108     -1     3    -8     1 1 1
     109     -1     4    -8     1 1 1
     110     -1     5    -8     1 1 1
     111      0    -5    -8     1 1 1
     112      0    -4    -8     1 1 1
     113      0    -3    -8     1 1 1
     114      0    -2    -8     1 1 1
     115      0    -1    -8     1 1 1
     116      0     0    -8     1 1 1
     117      0     1    -8     1 1 1
     118      0     2    -8     1 1 1
     119      0     3    -8     1 1 1
     120      0     4    -8     1 1 1
     121      0     5    -8     1 1 1
     122      1    -5    -8     1 1 1
     123      1    -4    -8     1 1 1
     124      1    -3    -8     1 1 1
     125      1    -2    -8     1 1 1
     126      1    -1    -8     1 1 1
     127      1     0    -8     1 1 1
     128      1     1    -8     1 1 1
     129      1     2    -8     1 1 1
     130      1     3    -8     1 1 1
     131      1     4    -8     1 1 1
     132      1     5    -8     1 1 1
     133      2    -5    -8     1 1 1
     134      2    -4    -8     1 1 1
     135      2    -3    -8     1 1 1
     136      2    -2    -8     1 1 1
     137      2    -1    -8     1 1 1
     138      2     0    -8     1 1 1
     139      2     1    -8     1 1 1
     140      2     2    -8     1 1 1
     141      2     3    -8     1 1 1
     142      2     4    -8     1 1 1
     143      2     5    -8     1 1 1
     144      3    -5    -8     1 1 1
     145      3    -4    -8     1 1 1
     146      3    -3    -8     1 1 1
     147      3    -2    -8     1 1 1
     148      3    -1    -8     1 1 1
     149      3     0    -8     1 1 1
     150      3     1    -8     1 1 1
     151      3     2    -8     1 1 1
     152      3     3    -8     1 1 1
     153      3     4    -8     1 1 1
     154      3     5    -8     1 1 1
     155      4    -4    -8     1 1 1
     156      4    -3    -8     1 1 1
     157      4    -2    -8     1 1 1
     158      4    -1    -8     1 1 1
     159      4     0    -8     1 1 1
     160      4     1    -8     1 1 1
     161      4     2    -8     1 1 1
     162      4     3    -8     1 1 1
     163      4     4    -8     1 1 1
     164      5    -3    -8     1 1 1
     165      5    -2    -8     1 1 1
     166      5    -1    -8     1 1 1
     167      5     0    -8     1 1 1
     168      5     1    -8     1 1 1
     169      5     2    -8     1 1 1
     170      5     3    -8     1 1 1
     171     -7    -1    -7     1 1 1
     172     -7     0    -7     1 1 1
     173     -7     1    -7     1 1 1
     174     -6    -3    -7     1 1 1
     175     -6    -2    -7     1 1 1
     176     -6    -1    -7     1 1 1
     177     -6     0    -7     1 1 1
     178     -6     1    -7     1 1 1
     179     -6     2    -7     1 1 1
     180     -6     3    -7     1 1 1
     181     -5    -5    -7     1 1 1
     182     -5    -4    -7     1 1 1
     183     -5    -3    -7     1 1 1
     184     -5    -2    -7     1 1 1
     185     -5    -1    -7     1 1 1
     186     -5     0    -7     1 1 1
     187     -5     1    -7     1 1 1
     188     -5     2    -7     1 1 1
     189     -5     3    -7     1 1 1
     190     -5     4    -7     1 1 1
     191     -5     5    -7     1 1 1
     192     -4    -5    -7     1 1 1
     193     -4    -4    -7     1 1 1
     194     -4    -3    -7     1 1 1
     195     -4    -2    -7     1 1 1
     196     -4    -1    -7     1 1 1
     197     -4     0    -7     1 1 1
     198     -4     1    -7     1 1 1
     199     -4     2    -7     1 1 1
     200     -4     3    -7     1 1 1
     201     -4     4    -7     1 1 1
     202     -4     5    -7     1 1 1
     203     -3    -6    -7     1 1 1
     204     -3    -5    -7     1 1 1
     205     -3    -4    -7     1 1 1
     206     -3    -3    -7     1 1 1
     207     -3    -2    -7     1 1 1
     208     -3    -1    -7     1 1 1
     209     -3     0    -7     1 1 1
     210     -3     1    -7     1 1 1
     211     -3     2    -7     1 1 1
     212     -3     3    -7     1 1 1
     213     -3     4    -7     1 1 1
     214     -3     5    -7     1 1 1
     215     -3     6    -7     1 1 1
     216     -2    -6    -7     1 1 1
     217     -2    -5    -7     1 1 1
     218     -2    -4    -7     1 1 1
     219     -2    -3    -7     1 1 1
     220     -2    -2    -7     1 1 1
     221     -2    -1    -7     1 1 1
     222     -2     0    -7     1 1 1
     223     -2     1    -7     1 1 1
     224     -2     2    -7     1 1 1
     225     -2     3    -7     1 1 1
     226     -2     4    -7     1 1 1
     227     -2     5    -7     1 1 1
     228     -2     6    -7     1 1 1
     229     -1    -7    -7     1 1 1
     230     -1    -6    -7     1 1 1
     231     -1    -5    -7     1 1 1
     232     -1    -4    -7     1 1 1
     233     -1    -3    -7     1 1 1
     234     -1    -2    -7     1 1 1
     235     -1    -1    -7     1 1 1
     236     -1     0    -7     1 1 1
     237     -1     1    -7     1 1 1
     238     -1     2    -7     1 1 1
     239     -1     3    -7     1 1 1
     240     -1     4    -7     1 1 1
     241     -1     5    -7     1 1 1
     242     -1     6    -7     1 1 1
     243     -1     7    -7     1 1 1
     244      0    -7    -7     1 1 1
     245      0    -6    -7     1 1 1
     246      0    -5    -7     1 1 1
     247      0    -4    -7     1 1 1
     248      0    -3    -7     1 1 1
     249      0    -2    -7     1 1 1
     250      0    -1    -7     1 1 1
     251      0     0    -7     1 1 1
     252      0     1    -7     1 1 1
     253      0     2    -7     1 1 1
     254      0     3    -7     1 1 1
     255      0     4    -7     1 1 1
     256      0     5    -7     1 1 1
     257      0     6    -7     1 1 1
     258      0     7    -7     1 1 1
     259      1    -7    -7     1 1 1
     260      1    -6    -7     1 1 1
     261      1    -5    -7     1 1 1
     262      1    -4    -7     1 1 1
     263      1    -3    -7     1 1 1
     264      1    -2    -7     1 1 1
     265      1    -1    -7     1 1 1
     266      1     0    -7     1 1 1
     267      1     1    -7     1 1 1
     268      1     2    -7     1 1 1
     269      1     3    -7     1 1 1
     270      1     4    -7     1 1 1
     271      1     5    -7     1 1 1
     272      1     6    -7     1 1 1
     273      1     7    -7     1 1 1
     274      2    -6    -7     1 1 1
     275      2    -5    -7     1 1 1
     276      2    -4    -7     1 1 1
     277      2    -3    -7     1 1 1
     278      2    -2    -7     1 1 1
     279      2    -1    -7     1 1 1
     280      2     0    -7     1 1 1
     281      2     1    -7     1 1 1
     282      2     2    -7     1 1 1
     283      2     3    -7     1 1 1
     284      2     4    -7     1 1 1
     285      2     5    -7     1 1 1
     286      2     6    -7     1 1 1
     287      3    -6    -7     1 1 1
     288      3    -5    -7     1 1 1
     289      3    -4    -7     1 1 1
     290      3    -3    -7     1 1 1
     291      3    -2    -7     1 1 1
     292      3    -1    -7     1 1 1
     293      3     0    -7     1 1 1
     294      3     1    -7     1 1 1
     295      3     2    -7     1 1 1
     296      3     3    -7     1 1 1
     297      3     4    -7     1 1 1
     298      3     5    -7     1 1 1
     299      3     6    -7     1 1 1
     300      4    -5    -7     1 1 1
     301      4    -4    -7     1 1 1
     302      4    -3    -7     1 1 1
     303      4    -2    -7     1 1 1
     304      4    -1    -7     1 1 1
     305      4     0    -7     1 1 1
     306      4     1    -7     1 1 1
     307      4     2    -7     1 1 1
     308      4     3    -7     1 1 1
     309      4     4    -7     1 1 1
     310      4     5    -7     1 1 1
     311      5    -5    -7     1 1 1
     312      5    -4    -7     1 1 1
     313      5    -3    -7     1 1 1
     314      5    -2    -7     1 1 1
     315      5    -1    -7     1 1 1
     316      5     0    -7     1 1 1
     317      5     1    -7     1 1 1
     318      5     2    -7     1 1 1
     319      5     3    -7     1 1 1
     320      5     4    -7     1 1 1
     321      5     5    -7     1 1 1
     322      6    -3    -7     1 1 1
     323      6    -2    -7     1 1 1
     324      6    -1    -7     1 1 1
     325      6     0    -7     1 1 1
     326      6     1    -7     1 1 1
     327      6     2    -7     1 1 1
     328      6     3    -7     1 1 1
     329      7    -1    -7     1 1 1
     330      7     0    -7     1 1 1
     331      7     1    -7     1 1 1
     332     -7    -3    -6     1 1 1
     333     -7    -2    -6     1 1 1
     334     -7    -1    -6     1 1 1
     335     -7     0    -6     1 1 1
     336     -7     1    -6     1 1 1
     337     -7     2    -6     1 1 1
     338     -7     3    -6     1 1 1
     339     -6    -5    -6     1 1 1
     340     -6    -4    -6     1 1 1
     341     -6    -3    -6     1 1 1
     342     -6    -2    -6     1 1 1
     343     -6    -1    -6     1 1 1
     344     -6     0    -6     1 1 1
     345     -6     1    -6     1 1 1
     346     -6     2    -6     1 1 1
     347     -6     3    -6     1 1 1
     348     -6     4    -6     1 1 1
     349     -6     5    -6     1 1 1
     350     -5    -6    -6     1 1 1
     351     -5    -5    -6     1 1 1
     352     -5    -4    -6     1 1 1
     353     -5    -3    -6     1 1 1
     354     -5    -2    -6     1 1 1
     355     -5    -1    -6     1 1 1
     356     -5     0    -6     1 1 1
     357     -5     1    -6     1 1 1
     358     -5     2    -6     1 1 1
     359     -5     3    -6     1 1 1
     360     -5     4    -6     1 1 1
     361     -5     5    -6     1 1 1
     362     -5     6    -6     1 1 1
     363     -4    -6    -6     1 1 1
     364     -4    -5    -6     1 1 1
     365     -4    -4    -6     1 1 1
     366     -4    -3    -6     1 1 1
     367     -4    -2    -6     1 1 1
     368     -4    -1    -6     1 1 1
     369     -4     0    -6     1 1 1
     370     -4     1    -6     1 1 1
     371     -4     2    -6     1 1 1
     372     -4     3    -6     1 1 1
     373     -4     4    -6     1 1 1
     374     -4     5    -6     1 1 1
     375     -4     6    -6     1 1 1
     376     -3    -7    -6     1 1 1
     377     -3    -6    -6     1 1 1
     378     -3    -5    -6     1 1 1
     379     -3    -4    -6     1 1 1
     380     -3    -3    -6     1 1 1
     381     -3    -2    -6     1 1 1
     382     -3    -1    -6     1 1 1
     383     -3     0    -6     1 1 1
     384     -3     1    -6     1 1 1
     385     -3     2    -6     1 1 1
     386     -3     3    -6     1 1 1
     387     -3     4    -6     1 1 1
     388     -3     5    -6     1 1 1
     389     -3     6    -6     1 1 1
     390     -3     7    -6     1 1 1
     391     -2    -7    -6     1 1 1
     392     -2    -6    -6     1 1 1
     393     -2    -5    -6     1 1 1
     394     -2    -4    -6     1 1 1
     395     -2    -3    -6     1 1 1
     396     -2    -2    -6     1 1 1
     397     -2    -1    -6     1 1 1
     398     -2     0    -6     1 1 1
     399     -2     1    -6     1 1 1
     400     -2     2    -6     1 1 1
     401     -2     3    -6     1 1 1
     402     -2     4    -6     1 1 1
     403     -2     5    -6     1 1 1
     404     -2     6    -6     1 1 1
     405     -2     7    -6     1 1 1
     406     -1    -7    -6     1 1 1
     407     -1    -6    -6     1 1 1
     408     -1    -5    -6     1 1 1
     409     -1    -4    -6     1 1 1
     410     -1    -3    -6     1 1 1
     411     -1    -2    -6     1 1 1
     412     -1    -1    -6     1 1 1
     413     -1     0    -6     1 1 1
     414     -1     1    -6     1 1 1
     415     -1     2    -6     1 1 1
     416     -1     3    -6     1 1 1
     417     -1     4    -6     1 1 1
     418     -1     5    -6     1 1 1
     419     -1     6    -6     1 1 1
     420     -1     7    -6     1 1 1
     421      0    -7    -6     1 1 1
     422      0    -6    -6     1 1 1
     423      0    -5    -6     1 1 1
     424      0    -4    -6     1 1 1
     425      0    -3    -6     1 1 1
     426      0    -2    -6     1 1 1
     427      0    -1    -6     1 1 1
     428      0     0    -6     1 1 1
     429      0     1    -6     1 1 1
     430      0     2    -6     1 1 1
     431      0     3    -6     1 1 1
     432      0     4    -6     1 1 1
     433      0     5    -6     1 1 1
     434      0     6    -6     1 1 1
     435      0     7    -6     1 1 1
     436      1    -7    -6     1 1 1
     437      1    -6    -6     1 1 1
     438      1    -5    -6     1 1 1
     439      1    -4    -6     1 1 1
     440      1    -3    -6     1 1 1
     441      1    -2    -6     1 1 1
     442      1    -1    -6     1 1 1
     443      1     0    -6     1 1 1
     444      1     1    -6     1 1 1
     445      1     2    -6     1 1 1
     446      1     3    -6     1 1 1
     447      1     4    -6     1 1 1
     448      1     5    -6     1 1 1
     449      1     6    -6     1 1 1
     450      1     7    -6     1 1 1
     451      2    -7    -6     1 1 1
     452      2    -6    -6     1 1 1
     453      2    -5    -6     1 1 1
     454      2    -4    -6     1 1 1
     455      2    -3    -6     1 1 1
     456      2    -2    -6     1 1 1
     457      2    -1    -6     1 1 1
     458      2     0    -6     1 1 1
     459      2     1    -6     1 1 1
     460      2     2    -6     1 1 1
     461      2     3    -6     1 1 1
     462      2     4    -6     1 1 1
     463      2     5    -6     1 1 1
     464      2     6    -6     1 1 1
     465      2     7    -6     1 1 1
     466      3    -7    -6     1 1 1
     467      3    -6    -6     1 1 1
     468      3    -5    -6     1 1 1
     469      3    -4    -6     1 1 1
     470      3    -3    -6     1 1 1
     471      3    -2    -6     1 1 1
     472      3    -1    -6     1 1 1
     473      3     0    -6     1 1 1
     474      3     1    -6     1 1 1
     475      3     2    -6     1 1 1
     476      3     3    -6     1 1 1
     477      3     4    -6     1 1 1
     478      3     5    -6     1 1 1
     479      3     6    -6     1 1 1
     480      3     7    -6     1 1 1
     481      4    -6    -6     1 1 1
     482      4    -5    -6     1 1 1
     483      4    -4    -6     1 1 1
     484      4    -3    -6     1 1 1
     485      4    -2    -6     1 1 1
     486      4    -1    -6     1 1 1
     487      4     0    -6     1 1 1
     488      4     1    -6     1 1 1
     489      4     2    -6     1 1 1
     490      4     3    -6     1 1 1
     491      4     4    -6     1 1 1
     492      4     5    -6     1 1 1
     493      4     6    -6     1 1 1
     494      5    -6    -6     1 1 1
     495      5    -5    -6     1 1 1
     496      5    -4    -6     1 1 1
     497      5    -3    -6     1 1 1
     498      5    -2    -6     1 1 1
     499      5    -1    -6     1 1 1
     500      5     0    -6     1 1 1
     501      5     1    -6     1 1 1
     502      5     2    -6     1 1 1
     503      5     3    -6     1 1 1
     504      5     4    -6     1 1 1
     505      5     5    -6     1 1 1
     506      5     6    -6     1 1 1
     507      6    -5    -6     1 1 1
     508      6    -4    -6     1 1 1
     509      6    -3    -6     1 1 1
     510      6    -2    -6     1 1 1
     511      6    -1    -6     1 1 1
     512      6     0    -6     1 1 1
     513      6     1    -6     1 1 1
     514      6     2    -6     1 1 1
     515      6     3    -6     1 1 1
     516      6     4    -6     1 1 1
     517      6     5    -6     1 1 1
     518      7    -3    -6     1 1 1
     519      7    -2    -6     1 1 1
     520      7    -1    -6     1 1 1
     521      7     0    -6     1 1 1
     522      7     1    -6     1 1 1
     523      7     2    -6     1 1 1
     524      7     3    -6     1 1 1
     525     -8    -3    -5     1 1 1
     526     -8    -2    -5     1 1 1
     527     -8    -1    -5     1 1 1
     528     -8     0    -5     1 1 1
     529     -8     1    -5     1 1 1
     530     -8     2    -5     1 1 1
     531     -8     3    -5     1 1 1
     532     -7    -5    -5     1 1 1
     533     -7    -4    -5     1 1 1
     534     -7    -3    -5     1 1 1
     535     -7    -2    -5     1 1 1
     536     -7    -1    -5     1 1 1
     537     -7     0    -5     1 1 1
     538     -7     1    -5     1 1 1
     539     -7     2    -5     1 1 1
     540     -7     3    -5     1 1 1
     541     -7     4    -5     1 1 1
     542     -7     5    -5     1 1 1
     543     -6    -6    -5     1 1 1
     544     -6    -5    -5     1 1 1
     545     -6    -4    -5     1 1 1
     546     -6    -3    -5     1 1 1
     547     -6    -2    -5     1 1 1
     548     -6    -1    -5     1 1 1
     549     -6     0    -5     1 1 1
     550     -6     1    -5     1 1 1
     551     -6     2    -5     1 1 1
     552     -6     3    -5     1 1 1
     553     -6     4    -5     1 1 1
     554     -6     5    -5     1 1 1
     555     -6     6    -5     1 1 1
     556     -5    -7    -5     1 1 1
     557     -5    -6    -5     1 1 1
     558     -5    -5    -5     1 1 1
     559     -5    -4    -5     1 1 1
     560     -5    -3    -5     1 1 1
     561     -5    -2    -5     1 1 1
     562     -5    -1    -5     1 1 1
     563     -5     0    -5     1 1 1
     564     -5     1    -5     1 1 1
     565     -5     2    -5     1 1 1
     566     -5     3    -5     1 1 1
     567     -5     4    -5     1 1 1
     568     -5     5    -5     1 1 1
     569     -5     6    -5     1 1 1
     570     -5     7    -5     1 1 1
     571     -4    -7    -5     1 1 1
     572     -4    -6    -5     1 1 1
     573     -4    -5    -5     1 1 1
     574     -4    -4    -5     1 1 1
     575     -4    -3    -5     1 1 1
     576     -4    -2    -5     1 1 1
     577     -4    -1    -5     1 1 1
     578     -4     0    -5     1 1 1
     579     -4     1    -5     1 1 1
     580     -4     2    -5     1 1 1
     581     -4     3    -5     1 1 1
     582     -4     4    -5     1 1 1
     583     -4     5    -5     1 1 1
     584     -4     6    -5     1 1 1
     585     -4     7    -5     1 1 1
     586     -3    -8    -5     1 1 1
     587     -3    -7    -5     1 1 1
     588     -3    -6    -5     1 1 1
     589     -3    -5    -5     1 1 1
     590     -3    -4    -5     1 1 1
     591     -3    -3    -5     1 1 1
     592     -3    -2    -5     1 1 1
     593     -3    -1    -5     1 1 1
     594     -3     0    -5     1 1 1
     595     -3     1    -5     1 1 1
     596     -3     2    -5     1 1 1
     597     -3     3    -5     1 1 1
     598     -3     4    -5     1 1 1
     599     -3     5    -5     1 1 1
     600     -3     6    -5     1 1 1
     601     -3     7    -5     1 1 1
     602     -3     8    -5     1 1 1
     603     -2    -8    -5     1 1 1
     604     -2    -7    -5     1 1 1
     605     -2    -6    -5     1 1 1
     606     -2    -5    -5     1 1 1
     607     -2    -4    -5     1 1 1
     608     -2    -3    -5     1 1 1
     609     -2    -2    -5     1 1 1
     610     -2    -1    -5     1 1 1
     611     -2     0    -5     1 1 1
     612     -2     1    -5     1 1 1
     613     -2     2    -5     1 1 1
     614     -2     3    -5     1 1 1
     615     -2     4    -5     1 1 1
     616     -2     5    -5     1 1 1
     617     -2     6    -5     1 1 1
     618     -2     7    -5     1 1 1
     619     -2     8    -5     1 1 1
     620     -1    -8    -5     1 1 1
     621     -1    -7    -5     1 1 1
     622     -1    -6    -5     1 1 1
     623     -1    -5    -5     1 1 1
     624     -1    -4    -5     1 1 1
     625     -1    -3    -5     1 1 1
     626     -1    -2    -5     1 1 1
     627     -1    -1    -5     1 1 1
     628     -1     0    -5     1 1 1
     629     -1     1    -5     1 1 1
     630     -1     2    -5     1 1 1
     631     -1     3    -5     1 1 1
     632     -1     4    -5     1 1 1
     633     -1     5    -5     1 1 1
     634     -1     6    -5     1 1 1
     635     -1     7    -5     1 1 1
     636     -1     8    -5     1 1 1
     637      0    -8    -5     1 1 1
     638      0    -7    -5     1 1 1
     639      0    -6    -5     1 1 1
     640      0    -5    -5     1 1 1
     641      0    -4    -5     1 1 1
     642      0    -3    -5     1 1 1
     643      0    -2    -5     1 1 1
     644      0    -1    -5     1 1 1
     645      0     0    -5     1 1 1
     646      0     1    -5     1 1 1
     647      0     2    -5     1 1 1
     648      0     3    -5     1 1 1
     649      0     4    -5     1 1 1
     650      0     5    -5     1 1 1
     651      0     6    -5     1 1 1
     652      0     7    -5     1 1 1
     653      0     8    -5     1 1 1
     654      1    -8    -5     1 1 1
     655      1    -7    -5     1 1 1
     656      1    -6    -5     1 1 1
     657      1    -5    -5     1 1 1
     658      1    -4    -5     1 1 1
     659      1    -3    -5     1 1 1
     660      1    -2    -5     1 1 1
     661      1    -1    -5     1 1 1
     662      1     0    -5     1 1 1
     663      1     1    -5     1 1 1
     664      1     2    -5     1 1 1
     665      1     3    -5     1 1 1
     666      1     4    -5     1 1 1
     667      1     5    -5     1 1 1
     668      1     6    -5     1 1 1
     669      1     7    -5     1 1 1
     670      1     8    -5     1 1 1
     671      2    -8    -5     1 1 1
     672      2    -7    -5     1 1 1
     673      2    -6    -5     1 1 1
     674      2    -5    -5     1 1 1
     675      2    -4    -5     1 1 1
     676      2    -3    -5     1 1 1
     677      2    -2    -5     1 1 1
     678      2    -1    -5     1 1 1
     679      2     0    -5     1 1 1
     680      2     1    -5     1 1 1
     681      2     2    -5     1 1 1
     682      2     3    -5     1 1 1
     683      2     4    -5     1 1 1
     684      2     5    -5     1 1 1
     685      2     6    -5     1 1 1
     686      2     7    -5     1 1 1
     687      2     8    -5     1 1 1
     688      3    -8    -5     1 1 1
     689      3    -7    -5     1 1 1
     690      3    -6    -5     1 1 1
     691      3    -5    -5     1 1 1
     692      3    -4    -5     1 1 1
     693      3    -3    -5     1 1 1
     694      3    -2    -5     1 1 1
     695      3    -1    -5     1 1 1
     696      3     0    -5     1 1 1
     697      3     1    -5     1 1 1
     698      3     2    -5     1 1 1
     699      3     3    -5     1 1 1
     700      3     4    -5     1 1 1
     701      3     5    -5     1 1 1
     702      3     6    -5     1 1 1
     703      3     7    -5     1 1 1
     704      3     8    -5     1 1 1
     705      4    -7    -5     1 1 1
     706      4    -6    -5     1 1 1
     707      4    -5    -5     1 1 1
     708      4    -4    -5     1 1 1
     709      4    -3    -5     1 1 1
     710      4    -2    -5     1 1 1
     711      4    -1    -5     1 1 1
     712      4     0    -5     1 1 1
     713      4     1    -5     1 1 1
     714      4     2    -5     1 1 1
     715      4     3    -5     1 1 1
     716      4     4    -5     1 1 1
     717      4     5    -5     1 1 1
     718      4     6    -5     1 1 1
     719      4     7    -5     1 1 1
     720      5    -7    -5     1 1 1
     721      5    -6    -5     1 1 1
     722      5    -5    -5     1 1 1
     723      5    -4    -5     1 1 1
     724      5    -3    -5     1 1 1
     725      5    -2    -5     1 1 1
     726      5    -1    -5     1 1 1
     727      5     0    -5     1 1 1
     728      5     1    -5     1 1 1
     729      5     2    -5     1 1 1
     730      5     3    -5     1 1 1
     731      5     4    -5     1 1 1
     732      5     5    -5     1 1 1
     733      5     6    -5     1 1 1
     734      5     7    -5     1 1 1
     735      6    -6    -5     1 1 1
     736      6    -5    -5     1 1 1
     737      6    -4    -5     1 1 1
     738      6    -3    -5     1 1 1
     739      6    -2    -5     1 1 1
     740      6    -1    -5     1 1 1
     741      6     0    -5     1 1 1
     742      6     1    -5     1 1 1
     743      6     2    -5     1 1 1
     744      6     3    -5     1 1 1
     745      6     4    -5     1 1 1
     746      6     5    -5     1 1 1
     747      6     6    -5     1 1 1
     748      7    -5    -5     1 1 1
     749      7    -4    -5     1 1 1
     750      7    -3    -5     1 1 1
     751      7    -2    -5     1 1 1
     752      7    -1    -5     1 1 1
     753      7     0    -5     1 1 1
     754      7     1    -5     1 1 1
     755      7     2    -5     1 1 1
     756      7     3    -5     1 1 1
     757      7     4    -5     1 1 1
     758      7     5    -5     1 1 1
     759      8    -3    -5     1 1 1
     760      8    -2    -5     1 1 1
     761      8    -1    -5     1 1 1
     762      8     0    -5     1 1 1
     763      8     1    -5     1 1 1
     764      8     2    -5     1 1 1
     765      8     3    -5     1 1 1
     766     -9    -1    -4     1 1 1
     767     -9     0    -4     1 1 1
     768     -9     1    -4     1 1 1
     769     -8    -4    -4     1 1 1
     770     -8    -3    -4     1 1 1
     771     -8    -2    -4     1 1 1
     772     -8    -1    -4     1 1 1
     773     -8     0    -4     1 1 1
     774     -8     1    -4     1 1 1
     775     -8     2    -4     1 1 1
     776     -8     3    -4     1 1 1
     777     -8     4    -4     1 1 1
     778     -7    -5    -4     1 1 1
     779     -7    -4    -4     1 1 1
     780     -7    -3    -4     1 1 1
     781     -7    -2    -4     1 1 1
     782     -7    -1    -4     1 1 1
     783     -7     0    -4     1 1 1
     784     -7     1    -4     1 1 1
     785     -7     2    -4     1 1 1
     786     -7     3    -4     1 1 1
     787     -7     4    -4     1 1 1
     788     -7     5    -4     1 1 1
     789     -6    -6    -4     1 1 1
     790     -6    -5    -4     1 1 1
     791     -6    -4    -4     1 1 1
     792     -6    -3    -4     1 1 1
     793     -6    -2    -4     1 1 1
     794     -6    -1    -4     1 1 1
     795     -6     0    -4     1 1 1
     796     -6     1    -4     1 1 1
     797     -6     2    -4     1 1 1
     798     -6     3    -4     1 1 1
     799     -6     4    -4     1 1 1
     800     -6     5    -4     1 1 1
     801     -6     6    -4     1 1 1
     802     -5    -7    -4     1 1 1
     803     -5    -6    -4     1 1 1
     804     -5    -5    -4     1 1 1
     805     -5    -4    -4     1 1 1
     806     -5    -3    -4     1 1 1
     807     -5    -2    -4     1 1 1
     808     -5    -1    -4     1 1 1
     809     -5     0    -4     1 1 1
     810     -5     1    -4     1 1 1
     811     -5     2    -4     1 1 1
     812     -5     3    -4     1 1 1
     813     -5     4    -4     1 1 1
